Fecha,Provincia,Tecnología,Accesos
2021-07-01,Río Negro,Dial up,501.0
2021-07-01,Salta,Dial up,2.0
2021-07-01,San Juan,Dial up,256.0
2021-07-01,San Luis,Dial up,148.0
2021-07-01,Santa Cruz,Dial up,197.0
2021-07-01,Santa Fe,Dial up,151.0
2021-07-01,Santiago Del Estero,Dial up,1.0
2021-07-01,Tierra Del Fuego,Dial up,289.0
2021-07-01,Tucumán,Dial up,25.0
2021-04-01,Buenos Aires,Dial up,5184.0
2021-04-01,Capital Federal,Dial up,1608.0
2021-04-01,Catamarca,Dial up,1.0
2021-04-01,Chaco,Dial up,3.0
2021-04-01,Chubut,Dial up,825.0
2021-04-01,Córdoba,Dial up,62.0
2021-04-01,Corrientes,Dial up,3.0
2021-04-01,Entre Ríos,Dial up,15.0
2021-04-01,Formosa,Dial up,0.0
2021-04-01,Jujuy,Dial up,0.0
2021-04-01,La Pampa,Dial up,116.0
2021-04-01,La Rioja,Dial up,3.0
2021-04-01,Mendoza,Dial up,619.0
2021-04-01,Misiones,Dial up,0.0
2021-04-01,Neuquén,Dial up,373.0
2021-04-01,Río Negro,Dial up,501.0
2021-04-01,Salta,Dial up,2.0
2021-04-01,San Juan,Dial up,256.0
2021-04-01,San Luis,Dial up,148.0
2021-04-01,Santa Cruz,Dial up,197.0
2021-04-01,Santa Fe,Dial up,151.0
2021-04-01,Santiago Del Estero,Dial up,1.0
2021-04-01,Tierra Del Fuego,Dial up,289.0
2021-04-01,Tucumán,Dial up,25.0
2021-01-01,Buenos Aires,Dial up,5066.0
2021-01-01,Capital Federal,Dial up,1390.0
2021-01-01,Catamarca,Dial up,1.0
2021-01-01,Chaco,Dial up,3.0
2021-01-01,Chubut,Dial up,825.0
2021-01-01,Córdoba,Dial up,55.0
2021-01-01,Corrientes,Dial up,3.0
2021-01-01,Entre Ríos,Dial up,13.0
2021-01-01,Formosa,Dial up,0.0
2021-01-01,Jujuy,Dial up,0.0
2021-01-01,La Pampa,Dial up,116.0
2021-01-01,La Rioja,Dial up,3.0
2021-01-01,Mendoza,Dial up,615.0
2021-01-01,Misiones,Dial up,0.0
2021-01-01,Neuquén,Dial up,373.0
2021-01-01,Río Negro,Dial up,501.0
2021-01-01,Salta,Dial up,2.0
2021-01-01,San Juan,Dial up,256.0
2021-01-01,San Luis,Dial up,148.0
2021-01-01,Santa Cruz,Dial up,197.0
2021-01-01,Santa Fe,Dial up,137.0
2021-01-01,Santiago Del Estero,Dial up,1.0
